ID,Nume,Concurs,Profesor,grupa,dificultate,URL
161,policefm,.campion 2006,Radu Boriga,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=293,
162,turn,ONI 2007,Prof. Doru Popescu Anastasiu,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=463,
163,invsort,ONI 2004,Mihai Pătraşcu,3,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=934,
164,xor1,XOR 2010,Prof. Dan Pracsiu,2,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1065,
165,creioane,ONI 2008,Prof. Doru Popescu Anastasiu,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=406,
166,super,.campion 2004,Prof. Marinel Şerban,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=481,
167,loc,.campion 2005,Prof. Marinel Şerban,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=376,
168,desert,OMI Iaşi 2003,,2,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=919,
169,aliniere,.campion 2010,Prof. Ilie Vieru,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1187,
170,jump,OMI Iaşi 2010,Prof. Mirela Ţibu,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1061,
171,lot,.campion 2005,Prof. Sergiu Corlat,2,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=459,
172,peri,ONI 2004,Prof. Nistor-Eugen Moţ,3,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=935,
173,bloc,Şansa de a deveni campion 2002,Prof. Nistor-Eugen Moţ,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=685,
174,ordonare,XOR 2010,Prof. Dan Pracsiu,2,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1064,
175,rima,.campion 2003,Prof. Marinel Şerban,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=558,
176,secvsir,.campion 2009,Prof. Emanuela Cerchez,2,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=969,
177,cern,ONI 2010,Prof. Ciprian Cheşcă,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1110,
178,secv9,.campion 2010,Prof. Dana Lica,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1170,
179,izvor,OMI Iaşi 2011,Prof. Silvia Grecu,3,2,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1196,
180,carte,.campion 2005,Prof. Marinel Şerban,1,2,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=437,
181,papusa,ONI 2011,Prof. Suzana Gălăţan,1,2,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1284,
182,game1,Lot AB 2010,Prof. Dana Lica,3,2,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1144,
183,color,ONI 2004,Mugurel Ionuţ Andreica,3,2,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=930,
184,joc19,LOT AR 2011,Prof. Alin Burţa,3,2,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1330,
185,role,ONI 2007,Radu Lucian Lupşa,3,2,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=638,
186,tetris1,Lot AB 2010,Andrei Paul Puni,3,2,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1155,
187,imagine,OMI Iaşi 2005,Prof. Marinel Şerban,2,2,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=771,
188,cartonas,ONI 2009,Prof. Roxana Tîmplaru,1,2,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=830,
189,linie,Finala .campion 2006,Prof. Doru Popescu Anastasiu,2,2,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=477,
190,reducere,FII Competition 2011,Prof. Dr. Cornelius Croitoru,3,2,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1257,
191,celule,.campion 2008,Prof. Emanuela Cerchez,1,2,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=37,
192,bile1,.campion 2004,Prof. Emanuela Cerchez,3,2,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=483,
193,nivfractie,ONI 2001,Prof. Ovidiu Domşa,1,2,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1213,
194,universitate,.campion 2010,Prof. Sergiu Corlat,3,2,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1234,
195,ocr,OJI 2005,Prof. Marinel Şerban,2,2,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=790,
196,triunghi,ONI 2007,Prof. Doru Popescu Anastasiu,1,2,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=537,
197,bileprime,.campion 2010,Prof. Doru Popescu Anastasiu,1,2,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1176,
198,submat,ONI 2008,Prof. Stelian Ciurea,1,2,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=403,
199,minusk,LOT AR 2011,Prof. Marius Nicoli,3,2,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1331,
200,concat,.campion 2009,Prof. Marinel Şerban,2,2,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1087,
201,drenaj,OMI Iaşi 2011,Prof. Emanuela Cerchez,3,2,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1195,
202,div3,ONI 2007,Prof. Dan Pracsiu,2,2,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=488,
203,canguri,OMI Iaşi 2011,Prof. Mirela Ţibu,1,2,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1197,
204,joc3,ONI 2008,Prof. Adrian Pintea,1,2,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=410,
205,rez,ONI 2004,Prof. Emanuela Cerchez,2,2,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=926,
206,prefix1,.campion 2009,Prof. Dana Lica,1,2,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=974,
207,teatru,ONI 2008,Prof. Constantin Gălăţan,1,2,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=261,
208,joc17,ONI 2011,Prof. Roxana Tîmplaru,1,2,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1286,
209,traseu1,XOR 2010,Prof. Dan Pracsiu,3,2,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1069,
